ID,total_workouts,train_count,val_count,test_count,train_pct,val_pct,test_pct
7,2,1,0,1,50.0%,0.0%,50.0%
19,2,1,0,1,50.0%,0.0%,50.0%
36,2,1,0,1,50.0%,0.0%,50.0%
45,2,1,0,1,50.0%,0.0%,50.0%
57,2,1,0,1,50.0%,0.0%,50.0%
58,3,1,0,2,33.3%,0.0%,66.7%
59,2,1,0,1,50.0%,0.0%,50.0%
60,2,1,0,1,50.0%,0.0%,50.0%
72,2,1,0,1,50.0%,0.0%,50.0%
80,2,1,0,1,50.0%,0.0%,50.0%
82,2,1,0,1,50.0%,0.0%,50.0%
99,3,1,0,2,33.3%,0.0%,66.7%
108,2,1,0,1,50.0%,0.0%,50.0%
109,2,1,0,1,50.0%,0.0%,50.0%
110,2,1,0,1,50.0%,0.0%,50.0%
111,2,1,0,1,50.0%,0.0%,50.0%
118,2,1,0,1,50.0%,0.0%,50.0%
119,2,1,0,1,50.0%,0.0%,50.0%
124,2,1,0,1,50.0%,0.0%,50.0%
125,2,1,0,1,50.0%,0.0%,50.0%
132,2,1,0,1,50.0%,0.0%,50.0%
133,2,1,0,1,50.0%,0.0%,50.0%
134,2,1,0,1,50.0%,0.0%,50.0%
155,2,1,0,1,50.0%,0.0%,50.0%
176,2,1,0,1,50.0%,0.0%,50.0%
177,2,1,0,1,50.0%,0.0%,50.0%
178,2,1,0,1,50.0%,0.0%,50.0%
179,2,1,0,1,50.0%,0.0%,50.0%
188,2,1,0,1,50.0%,0.0%,50.0%
195,2,1,0,1,50.0%,0.0%,50.0%
217,2,1,0,1,50.0%,0.0%,50.0%
257,2,1,0,1,50.0%,0.0%,50.0%
268,2,1,0,1,50.0%,0.0%,50.0%
308,3,1,0,2,33.3%,0.0%,66.7%
333,2,1,0,1,50.0%,0.0%,50.0%
334,2,1,0,1,50.0%,0.0%,50.0%
340,2,1,0,1,50.0%,0.0%,50.0%
341,2,1,0,1,50.0%,0.0%,50.0%
343,2,1,0,1,50.0%,0.0%,50.0%
353,2,1,0,1,50.0%,0.0%,50.0%
364,2,1,0,1,50.0%,0.0%,50.0%
371,2,1,0,1,50.0%,0.0%,50.0%
374,2,1,0,1,50.0%,0.0%,50.0%
378,2,1,0,1,50.0%,0.0%,50.0%
388,2,1,0,1,50.0%,0.0%,50.0%
407,2,1,0,1,50.0%,0.0%,50.0%
416,2,1,0,1,50.0%,0.0%,50.0%
417,3,1,0,2,33.3%,0.0%,66.7%
420,2,1,0,1,50.0%,0.0%,50.0%
431,2,1,0,1,50.0%,0.0%,50.0%
449,2,1,0,1,50.0%,0.0%,50.0%
451,2,1,0,1,50.0%,0.0%,50.0%
464,2,1,0,1,50.0%,0.0%,50.0%
468,2,1,0,1,50.0%,0.0%,50.0%
483,2,1,0,1,50.0%,0.0%,50.0%
489,2,1,0,1,50.0%,0.0%,50.0%
492,3,1,0,2,33.3%,0.0%,66.7%
493,2,1,0,1,50.0%,0.0%,50.0%
494,2,1,0,1,50.0%,0.0%,50.0%
499,2,1,0,1,50.0%,0.0%,50.0%
501,2,1,0,1,50.0%,0.0%,50.0%
502,3,1,0,2,33.3%,0.0%,66.7%
503,2,1,0,1,50.0%,0.0%,50.0%
506,4,2,0,2,50.0%,0.0%,50.0%
511,3,1,0,2,33.3%,0.0%,66.7%
